,CLIENT_ID,TARGET
0,1025140,0
1,1029732,0
2,1079794,0
3,1116331,0
4,1136822,0
5,114541,0
6,1147593,0
7,1163772,0
8,1203020,0
9,1213096,0
10,1226894,0
11,1239608,0
12,1254764,0
13,1255051,0
14,1261262,0
15,1268172,0
16,1268471,0
17,1277766,0
18,1296023,0
19,1318800,0
20,1322657,0
21,1345712,0
22,1346445,0
23,1350998,0
24,1358380,0
25,1373140,0
26,1383094,0
27,1393366,0
28,1407547,0
29,1416516,0
30,1421066,0
31,1421237,0
32,1421570,0
33,1422487,0
34,1424648,0
35,1432012,0
36,1432077,0
37,1438620,0
38,1441376,0
39,1446966,0
40,1449026,0
41,1453023,0
42,1458067,0
43,1459584,0
44,1465208,0
45,1466031,0
46,1466270,0
47,1467650,0
48,1468418,0
49,1468667,0
50,1469049,0
51,1470184,0
52,1470799,0
53,1472168,0
54,1472391,0
55,1472971,0
56,1473764,0
57,1477718,0
58,1483747,0
59,1487809,0
60,1495063,0
61,1497920,0
62,1498658,0
63,1499699,0
64,1501030,0
65,1501063,0
66,1501555,0
67,1503261,0
68,1503829,0
69,1503838,0
70,1503849,0
71,1503866,0
72,1503888,0
73,1503897,0
74,1503899,0
75,1503904,0
76,1503913,0
77,1504031,0
78,1504035,0
79,1504041,0
80,1504072,0
81,1504084,0
82,1504094,0
83,1504095,0
84,1504123,0
85,1504129,0
86,1504134,0
87,1504148,0
88,1504164,0
89,1504165,0
90,1504168,0
91,1504171,0
92,1504197,0
93,1504222,0
94,1504223,0
95,1504264,0
96,1504321,0
97,1504352,0
98,1504357,0
99,1504395,0
100,1504432,0
101,1504437,0
102,1504495,0
103,1504499,0
104,1504517,0
105,1504539,0
106,1504540,0
107,1504596,0
108,1504603,0
109,1504674,0
110,1504687,0
111,1504703,0
112,1504709,0
113,1504727,0
114,1504735,0
115,1504758,0
116,1504774,0
117,1504796,0
118,1504809,0
119,1504810,0
120,1504839,0
121,1504916,0
122,1505003,0
123,1505004,0
124,1505043,0
125,1505056,0
126,1505057,0
127,1505058,0
128,1505059,0
129,1505088,0
130,1505150,0
131,1505152,0
132,1505182,0
133,1505206,0
134,1505268,0
135,1505269,0
136,1505278,0
137,1505327,0
138,1505422,0
139,1505440,0
140,1505441,0
141,1505568,0
142,1505665,0
143,1505668,0
144,1505721,0
145,1505779,0
146,1505816,0
147,1505835,0
148,1505851,0
149,1505909,0
150,1505942,0
151,1505948,0
152,1505975,0
153,1505983,0
154,1505984,0
155,1506007,0
156,1506062,0
157,1506101,0
158,1506117,0
159,1506132,0
160,1506134,0
161,1506145,0
162,1506146,0
163,1506152,0
164,1506176,0
165,1506192,0
166,1506200,0
167,1506253,0
168,1506317,0
169,1506341,0
170,1506368,0
171,1506373,0
172,1506375,0
173,1506379,0
174,1506407,0
175,1506444,0
176,1506490,0
177,1506514,0
178,1506542,0
